771228633;"Silent House";2012;R;88;"From the directors of the hit film Open Water, Silent House is a uniquely unsettling horror thriller starring Elizabeth Olsen as Sarah, a young woman who finds herself sealed inside her family's secluded lake house. With no contact to the outside world, and no way out, panic turns to terror to terror as events become increasingly ominous in and around the house. Directed by filmmaking duo Chris Kentis and Laura Lau, Silent House uses meticulous camera choreography to take the audience on a tension-filled, real time journey, experienced in a single uninterrupted shot. -- (C) Open Road";"Elizabeth Olsen";"Adam Trese";"Eric Sheffer Stevens";"Julia Taylor Ross";"Adam Barnett"
16577;"National Lampoon's Animal House";1978;R;109;;"John Belushi";"Tim Matheson";"John Vernon";"Verna Bloom";"Tom Hulce"
12901;"House of 1000 Corpses";2002;R;88;;"Sid Haig";"Bill Moseley";"Sheri Moon Zombie";"Karen Black";"Chris Hardwick"
770806327;"The House of the Devil";2009;R;93;;"Jocelin Donahue";"Greta Gerwig";"Tom Noonan";"Mary Woronov";"AJ Bowen"
771204354;"Dream House";2011;PG-13;92;"Successful publisher Will Atenton (Daniel Craig) quit a job in New York City to relocate his wife, Libby (Rachel Weisz), and two girls to a quaint New England town. But as they settle into their new life, they discover their perfect home was the murder scene of a mother and her children. And the entire city believes it was at the hands of the husband who survived. When Will investigates the tragedy, his only lead comes from Ann Paterson (Naomi Watts), a neighbor who was close to the family that died. As Will and Ann piece together the disturbing puzzle, they discover that the story of the last man to leave Will's dream house will be just as horrifying to the one who came next. -- (C) Universal Pictures";"Daniel Craig";"Naomi Watts";"Rachel Weisz";"Elias Koteas";"Marton Csokas"
770676632;"American Pie Presents: Beta House";2007;R;89;;"John White";"Steve Talley";"Jake Siegel";"Jordan Prentice";"Christopher McDonald"
771323737;"The Kings of Summer";2013;R;95;"Premiering to rave reviews at the 2013 Sundance Film Festival, THE KINGS OF SUMMER is a unique coming-of-age comedy about three teenage friends - Joe (Nick Robinson), Patrick (Gabriel Basso) and the eccentric and unpredictable Biaggio (Moises Arias) - who, in the ultimate act of independence, decide to spend their summer building a house in the woods and living off the land. Free from their parents' rules, their idyllic summer quickly becomes a test of friendship as each boy learns to appreciate the fact that family - whether it is the one you're born into or the one you create - is something you can't run away from. (c) CBS Films";"Nick Robinson";"Gabriel Basso";"Moises Arias";"Nick Offerman";"Alison Brie"
13420;"House on Haunted Hill";1999;R;96;;"Geoffrey Rush";"Famke Janssen";"Taye Diggs";"Peter Gallagher";"Chris Kattan"
13352;"House of Sand and Fog";2003;R;126;;"Jennifer Connelly";"Ben Kingsley";"Ron Eldard";"Shohreh Aghdashloo";"Jonathan Ahdout"
771228966;"Big Mommas: Like Father, Like Son";2011;PG-13;107;"Martin Lawrence reprises the role of FBI agent Malcolm Turner -- aka, undercover grandma Big Momma -- in this installment in the Big Momma's House franchise, Big Mommas: Like Father, Like Son. Malcolm's latest assignment teams him up with his teenage stepson, Trent (Brandon T. Jackson), who unwittingly makes himself a target when he witnesses a murder. In order to keep Trent out of harm's way and solve the case behind the killing that Trent saw, the two have no choice but to go undercover at an all-girls performing arts school, with Malcolm posing as the titular rotund old lady, Big Momma, and Trent dressing up as a heavy female student named Charmaine. ~ Jason Buchanan, Rovi";"Martin Lawrence";"Brandon T. Jackson";"Jessica Lucas";"Michelle Ang";"Portia Doubleday"
10411;"The Cider House Rules";1999;PG-13;131;;"Tobey Maguire";"Charlize Theron";"Delroy Lindo";"Paul Rudd";"Michael Caine"
10124;"House of Wax";1953;PG;88;;"Vincent Price";"Frank Lovejoy";"Phyllis Kirk";"Carolyn Jones";"Paul Picerni"
11083;"Duplex (Our House)";2003;PG-13;89;;"Ben Stiller";"Drew Barrymore";"Eileen Essell";"Harvey Fierstein";"Robert Wisdom"
13018;"Life as a House";2001;R;125;;"Kevin Kline";"Kristin Scott Thomas";"Hayden Christensen";"Jena Malone";"Mary Steenburgen"
14277;"House of the Dead";2003;R;90;;"Jonathan Cherry";"Tyron Leitso";"Clint Howard";"Ona Grauer";"Ellie Cornell"
136262883;"Man of the House";2005;PG-13;100;;"Tommy Lee Jones";"Cedric the Entertainer";"Christina Milian";"Paula Garces";"Monica Keena"
771266105;"The House I Live In";2012;Unrated;110;"Why We Fight director Eugene Jarecki shifts his focus from the military industrial complex to the War on Drugs in this documentary exploring the risks that prohibition poses to freedom, and the tragedy of addicts being treated as criminals. In the four decades since the War on Drugs commenced, over 45 millions of addicts have been arrested - and for each one jailed, another family is destroyed. Meanwhile, the prisons in America are growing overcrowded with non-violent criminals, and illegal drugs are still being sold in schoolyards. By examining just where it all went wrong, Jarecki reveals that a solution is possible if we can just find it in ourselves to be compassionate, and see past the decades of paranoia and propaganda. ~ Jason Buchanan, Rovi";"Michelle Alexander";"Shaniqua Benitez";"Mark Bennett";"Mike Carpenter";"Larry Cearly"
11464;"The Glass House";2001;PG-13;106;;"Leelee Sobieski";"Diane Lane";"Stellan Skarsgard";"Bruce Dern";"Kathy Baker"
18036;"House On Haunted Hill";1959;PG;74;;"Vincent Price";"Carol Ohmart";"Richard Long";"Alan Marshal";"Carolyn Craig"
17014;"The Last House on the Left";1972;R;83;;"Cynthia Carr";"Sandra Cassel";"Lucy Grantham";"Martin Kove";"Jeramie Rain"
17178;"House of Usher (The Fall of the House of Usher)";1960;Unrated;85;;"Vincent Price";"Mark Damon";"Myrna Fahey";"Harry Ellerbe";"Bill Borzage"
13843;"House Party";1990;R;100;;"Christopher ""Kid"" Reid";"Christopher ""Play"" Martin";"Robin Harris";"Martin Lawrence";"Tisha Campbell"
771242424;"House of Pleasures";2011;Unrated;125;"In this lush, atmospheric look at the final days of an elegant, turn-of-the-century brothel, we go inside the cloistered walls of L'Apollonide to meet the Madam (Noemie Lvovsky), her elite clientele, and some dozen ""girls"" - veterans and newcomers, romantics and cynics, schemers and innocents. Upending the period drama with split screens, time shifts and a modern soundtrack, this is a provocative and beautiful film about the world's oldest profession - and an exploration of how the past is remembered. -- (C) Sundance Selects";"Noemie Lvovsky";"Hafsia Herzi";"Celine Sallette";"Jasmine Trinca";"Adele Haenel"
13220;"Road House";1989;R;115;;"Patrick Swayze";"Kelly Lynch";"Sam Elliott";"Ben Gazzara";"Marshall R. Teague"
